"",2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2020,2050
Australia,19 413,19 651,19 895,20 127,20 395,20 698,21 015,21 499,21 955,22 298,22 618,25 288,33 959
Austria,8 042,8 082,8 121,8 172,8 228,8 269,8 301,8 337,8 365,8 390,8 421,8 724,9 360
Belgium,10 287,10 333,10 376,10 421,10 479,10 548,10 626,10 710,10 796,10 896,..,11 758,13 139
Canada,31 019,31 354,31 640,31 941,32 245,32 576,32 930,33 316,33 720,34 109,..,36 344,41 896
Chile,15 572,15 746,15 919,16 093,16 267,16 433,16 598,16 763,16 929,17 094,17 248,18 549,20 205
Czech Republic,10 236,10 205,10 207,10 216,10 236,10 269,10 334,10 424,10 487,10 520,..,10 287,9 457
Denmark,5 359,5 376,5 391,5 405,5 419,5 437,5 461,5 494,5 523,5 548,..,5 582,5 621
Estonia,1 364,1 359,1 354,1 349,1 346,1 344,1 342,1 341,1 340,1 340,..,1 328,1 250
Finland,5 188,5 201,5 213,5 228,5 246,5 266,5 289,5 313,5 339,5 363,5 388,5 636,6 090
France,59 476,59 894,60 304,60 734,61 182,61 597,61 965,62 300,62 628,62 959,63 294,66 098,72 341
Germany,82 350,82 488,82 534,82 516,82 469,82 376,82 266,82 110,81 902,81 777,..,79 914,69 412
Greece,10 950,10 988,11 024,11 062,11 104,11 148,11 193,11 237,11 283,11 308,..,11 426,10 605
Hungary,10 188,10 159,10 130,10 107,10 087,10 071,10 056,10 038,10 023,10 000,..,9 856,8 718
Iceland,285,288,289,293,296,304,311,319,319,318,319,345,420
Ireland,3 866,3 932,3 997,4 070,4 160,4 260,4 357,4 426,4 459,4 474,..,4 774,5 482
Israel,6 439,6 570,6 690,6 809,6 930,7 054,7 180,7 309,7 486,7 624,..,9 022,..
Italy,56 977,57 157,57 605,58 175,58 607,58 942,59 375,59 832,60 193,60 483,..,59 001,55 710
Japan,127 291,127 435,127 619,127 687,127 768,127 770,127 771,127 692,127 510,128 057,127 799,124 100,97 076
Korea,47 357,47 622,47 859,48 039,48 138,48 372,48 598,48 949,49 182,49 410,49 779,51 436,48 121
Luxembourg,442,446,452,458,465,473,480,489,498,507,..,523,644
Mexico,99 716,100 909,102 000,103 002,103 947,104 874,105 791,106 683,107 551,108 396,109 220,115 762,121 856
Netherlands,16 046,16 149,16 225,16 282,16 320,16 346,16 382,16 446,16 530,16 615,..,17 240,17 343
New Zealand,3 881,3 949,4 027,4 088,4 134,4 185,4 228,4 269,4 316,4 368,4 405,4 565,5 046
Norway,4 514,4 538,4 565,4 592,4 623,4 661,4 709,4 768,4 829,4 889,4 953,5 061,5 854
Poland,38 251,38 232,38 195,38 180,38 161,38 132,38 116,38 116,38 153,38 187,..,37 830,34 543
Portugal,10 293,10 368,10 441,10 502,10 549,10 584,10 608,10 622,10 632,10 637,..,10 832,10 674
Slovak Republic,5 379,5 379,5 380,5 382,5 387,5 391,5 397,5 407,5 419,5 430,..,5 417,4 880
Slovenia,1 992,1 995,1 996,1 997,2 000,2 007,2 010,2 021,2 040,2 049,..,2 066,1 994
Spain,40 720,41 314,42 005,42 692,43 398,44 116,44 879,45 556,45 909,46 071,..,45 568,42 703
Sweden,8 896,8 925,8 958,8 994,9 030,9 081,9 148,9 220,9 299,9 378,9 449,9 976,10 726
Switzerland,7 227,7 285,7 339,7 390,7 437,7 484,7 551,7 648,7 744,7 822,..,8 379,8 981
Turkey,65 133,66 008,66 873,67 723,68 566,69 395,70 215,71 079,71 897,72 698,..,80 257,96 496
United Kingdom,59 108,59 326,59 566,59 031,59 408,59 751,60 137,60 540,60 927,61 344,61 761,66 754,76 959
United States,284 969,287 625,290 108,292 805,295 517,298 380,301 231,304 094,306 772,309 330,311 592,341 387,439 010
EU27,484 216,485 641,487 722,489 966,492 173,494 251,496 489,498 686,500 395,501 792,503 279,514 913,523 804
OECD,1 158 225,1 166 286,1 174 295,1 181 563,1 189 545,1 197 595,1 205 851,1 214 366,1 221 954,1 229 690,1 231 746,1 291 087,1 393 722
Brazil,173 808,176 304,178 741,181 106,183 383,185 564,187 642,189 613,191 481,193 253,194 933,207 143,215 288
China,1 277 904,1 285 934,1 293 397,1 300 552,1 307 594,1 314 581,1 321 482,1 328 276,1 334 909,1 341 335,1 348 010,1 387 792,1 295 604
India,1 071 374,1 088 694,1 105 886,1 122 991,1 140 043,1 157 039,1 173 972,1 190 864,1 207 740,1 224 614,1 241 948,1 386 909,1 692 008
Indonesia,216 204,219 026,221 839,224 607,227 303,229 919,232 462,234 951,237 415,239 871,242 206,262 570,293 456
Russian Federation,146 162,145 520,144 881,144 307,143 843,143 510,143 295,143 163,143 064,142 958,142 823,141 022,126 188
South Africa,45 390,46 015,46 631,47 227,47 793,48 331,48 842,49 319,49 752,50 133,50 385,52 573,56 757
World,6 200 003,6 276 722,6 353 196,6 429 758,6 506 649,6 583 959,6 661 638,6 739 611,6 817 737,6 895 889,6 975 114,7 656 528,9 306 128
